Name,AddressLine1,AddressLine2,City,StateCode,CountryCode,PostalCode,RoutingIdentifierType,RoutingIdentifier,AccountNumber,IBAN
"Acme Bros","123 Main St","Unit 4B","New York","NY","US","10001","BIC","CHASUS33XXX","1234567890","US64SVBKUS6S3300958879"
"Zenith LLC","456 Oak Ave","","Los Angeles","CA","US","90001","ABA","021000021","2345678901","US12BOFAUS3N3300958870"
"Nimbus Inc","789 Pine Blvd","Suite 12","Chicago","IL","US","60601","BIC","CITIUS30XXX","3456789012","US98CITIUS30XXX00958871"
"Vertex Pvt Ltd","321 Maple Rd","Apt 5A","Houston","TX","US","77001","ABA","021000089","4567890123","US44CHASUS33XXX00958872"
"Orion LLP","654 Cedar Dr","","San Francisco","CA","US","94102","BIC","ROYCCAT2XXX","5678901234","US22ROYCCAT2XXX00958873"
"Atlas Bros","987 Birch Ln","Floor 3","Miami","FL","US","33101","ABA","026015189","6789012345","US33BOFAUS3N3300958874"
"Helios LLC","159 Spruce Ct","","Dallas","TX","US","75201","BIC","BOFAUS3NXXX","7890123456","US55BOFAUS3N3300958875"
"Quantum Inc","753 Elm St","Building 2","Boston","MA","US","02108","ABA","011000138","8901234567","US66CITIUS30XXX00958876"
"Pioneer Pvt Ltd","852 Willow Ave","","Seattle","WA","US","98101","BIC","DEUTDEFFXXX","9012345678","US77DEUTDEFFXXX00958877"
"Summit LLP","951 Aspen Way","Unit 7C","Denver","CO","US","80201","ABA","067009960","1122334455","US88CHASUS33XXX00958878"
